Year,Host,Stage,Home Team,Away Team,Home Score,Away Score,Winning Team,Losing Team
1966,England,Group Stage,Chile,Italy,0,2,Italy,Chile
1966,England,Group Stage,France,Mexico,1,1,Draw,Draw
1966,England,Group Stage,Hungary,Portugal,1,3,Portugal,Hungary
1966,England,Group Stage,Brazil,Hungary,1,3,Hungary,Brazil
1966,England,Group Stage,Chile,North Korea,1,1,Draw,Draw
1966,England,Group Stage,France,Uruguay,1,2,Uruguay,France
1966,England,Group Stage,Spain,Switzerland,2,1,Spain,Switzerland
1966,England,Group Stage,Argentina,West Germany,0,0,Draw,Draw
1966,England,Group Stage,Bulgaria,Portugal,0,3,Portugal,Bulgaria
1966,England,Group Stage,England,Mexico,2,0,England,Mexico
1966,England,Group Stage,Italy,Soviet Union,0,1,Soviet Union,Italy
1966,England,Group Stage,Argentina,Switzerland,2,0,Argentina,Switzerland
1966,England,Group Stage,Brazil,Portugal,1,3,Portugal,Brazil
1966,England,Group Stage,Italy,North Korea,0,1,North Korea,Italy
1966,England,Group Stage,Mexico,Uruguay,0,0,Draw,Draw
1966,England,Group Stage,Bulgaria,Hungary,1,3,Hungary,Bulgaria
1966,England,Group Stage,Chile,Soviet Union,1,2,Soviet Union,Chile
1966,England,Group Stage,England,France,2,0,England,France
1966,England,Group Stage,West Germany,Spain,2,1,West Germany,Spain
1966,England,Quarterfinals,England,Argentina,1,0,England,Argentina
1966,England,Quarterfinals,West Germany,Uruguay,4,0,West Germany,Uruguay
1966,England,Quarterfinals,Hungary,Soviet Union,1,2,Soviet Union,Hungary
1966,England,Quarterfinals,North Korea,Portugal,3,5,Portugal,North Korea
1966,England,Semifinals,West Germany,Soviet Union,2,1,West Germany,Soviet Union
1966,England,Semifinals,England,Portugal,2,1,England,Portugal
1966,England,Third place,Portugal,Soviet Union,2,1,Portugal,Soviet Union
1966,England,Final,England,West Germany,4,2,England,West Germany
1970,Mexico,Group Stage,Mexico,Soviet Union,0,0,Draw,Draw
1970,Mexico,Group Stage,Bulgaria,Peru,2,3,Peru,Bulgaria
1970,Mexico,Group Stage,England,Romania,1,0,England,Romania
1970,Mexico,Group Stage,Israel,Uruguay,0,2,Uruguay,Israel
1970,Mexico,Group Stage,Belgium,El Salvador,3,0,Belgium,El Salvador
1970,Mexico,Group Stage,Brazil,Czechoslovakia,4,1,Brazil,Czechoslovakia
1970,Mexico,Group Stage,West Germany,Morocco,2,1,West Germany,Morocco
1970,Mexico,Group Stage,Italy,Sweden,1,0,Italy,Sweden
1970,Mexico,Group Stage,Belgium,Soviet Union,1,4,Soviet Union,Belgium
1970,Mexico,Group Stage,Czechoslovakia,Romania,1,2,Romania,Czechoslovakia
1970,Mexico,Group Stage,Italy,Uruguay,0,0,Draw,Draw
1970,Mexico,Group Stage,Morocco,Peru,0,3,Peru,Morocco
1970,Mexico,Group Stage,Brazil,England,1,0,Brazil,England
1970,Mexico,Group Stage,Bulgaria,West Germany,2,5,West Germany,Bulgaria
1970,Mexico,Group Stage,Israel,Sweden,1,1,Draw,Draw
1970,Mexico,Group Stage,Mexico,El Salvador,4,0,Mexico,El Salvador
1970,Mexico,Group Stage,Brazil,Romania,3,2,Brazil,Romania
1970,Mexico,Group Stage,El Salvador,Soviet Union,0,2,Soviet Union,El Salvador
1970,Mexico,Group Stage,West Germany,Peru,3,1,West Germany,Peru
1970,Mexico,Group Stage,Sweden,Uruguay,1,0,Sweden,Uruguay
1970,Mexico,Group Stage,Bulgaria,Morocco,1,1,Draw,Draw
1970,Mexico,Group Stage,Czechoslovakia,England,0,1,England,Czechoslovakia
1970,Mexico,Group Stage,Israel,Italy,0,0,Draw,Draw
1970,Mexico,Group Stage,Mexico,Belgium,1,0,Mexico,Belgium
1970,Mexico,Quarterfinals,Brazil,Peru,4,2,Brazil,Peru
1970,Mexico,Quarterfinals,England,West Germany,2,3,West Germany,England
1970,Mexico,Quarterfinals,Mexico,Italy,1,4,Italy,Mexico
1970,Mexico,Quarterfinals,Soviet Union,Uruguay,0,1,Uruguay,Soviet Union
1970,Mexico,Semifinals,Brazil,Uruguay,3,1,Brazil,Uruguay
1970,Mexico,Semifinals,West Germany,Italy,3,4,Italy,West Germany
1970,Mexico,Third place,West Germany,Uruguay,1,0,West Germany,Uruguay
1970,Mexico,Final,Brazil,Italy,4,1,Brazil,Italy
1974,Germany,Group Stage,Brazil,Yugoslavia,0,0,Draw,Draw
1974,Germany,Group Stage,Zaire,Scotland,0,2,Scotland,Zaire
1974,Germany,Group Stage,East Germany,Australia,2,0,East Germany,Australia
1974,Germany,Group Stage,West Germany,Chile,1,0,West Germany,Chile
1974,Germany,Group Stage,Italy,Haiti,3,1,Italy,Haiti
1974,Germany,Group Stage,Poland,Argentina,3,2,Poland,Argentina
1974,Germany,Group Stage,Sweden,Bulgaria,0,0,Draw,Draw
1974,Germany,Group Stage,Uruguay,Netherlands,0,2,Netherlands,Uruguay
1974,Germany,Group Stage,Chile,East Germany,1,1,Draw,Draw
1974,Germany,Group Stage,West Germany,Australia,3,0,West Germany,Australia
1974,Germany,Group Stage,Scotland,Brazil,0,0,Draw,Draw
1974,Germany,Group Stage,Yugoslavia,Zaire,9,0,Yugoslavia,Zaire
1974,Germany,Group Stage,Argentina,Italy,1,1,Draw,Draw
1974,Germany,Group Stage,Bulgaria,Uruguay,1,1,Draw,Draw
1974,Germany,Group Stage,Haiti,Poland,0,7,Poland,Haiti
1974,Germany,Group Stage,Netherlands,Sweden,0,0,Draw,Draw
1974,Germany,Group Stage,Australia,Chile,0,0,Draw,Draw
1974,Germany,Group Stage,Zaire,Brazil,0,3,Brazil,Zaire
1974,Germany,Group Stage,West Germany,East Germany,0,1,East Germany,West Germany
1974,Germany,Group Stage,Scotland,Yugoslavia,1,1,Draw,Draw
1974,Germany,Group Stage,Argentina,Haiti,4,1,Argentina,Haiti
1974,Germany,Group Stage,Bulgaria,Netherlands,1,4,Netherlands,Bulgaria
1974,Germany,Group Stage,Poland,Italy,2,1,Poland,Italy
1974,Germany,Group Stage,Sweden,Uruguay,3,0,Sweden,Uruguay
1974,Germany,Group Stage,Brazil,East Germany,1,0,Brazil,East Germany
1974,Germany,Group Stage,West Germany,Yugoslavia,2,0,West Germany,Yugoslavia
1974,Germany,Group Stage,Netherlands,Argentina,4,0,Netherlands,Argentina
1974,Germany,Group Stage,Sweden,Poland,0,1,Poland,Sweden
1974,Germany,Group Stage,Argentina,Brazil,1,2,Brazil,Argentina
1974,Germany,Group Stage,East Germany,Netherlands,0,2,Netherlands,West Germany
1974,Germany,Group Stage,West Germany,Sweden,4,2,West Germany,Sweden
1974,Germany,Group Stage,Poland,Yugoslavia,2,1,Poland,Yugoslavia
1974,Germany,Group Stage,Argentina,East Germany,1,1,Draw,Draw
1974,Germany,Group Stage,West Germany,Poland,1,0,West Germany,Poland
1974,Germany,Group Stage,Netherlands,Brazil,2,0,Netherlands,Brazil
1974,Germany,Group Stage,Sweden,Yugoslavia,2,1,Sweden,Yugoslavia
1974,Germany,Third place,Brazil,Poland,0,1,Poland,Brazil
1974,Germany,Final,West Germany,Netherlands,2,1,West Germany,Netherlands
1978,Argentina,Group Stage,West Germany,Poland,0,0,Draw,Draw
1978,Argentina,Group Stage,Argentina,Hungary,2,1,Argentina,Hungary
1978,Argentina,Group Stage,France,Italy,1,2,Italy,France
1978,Argentina,Group Stage,Mexico,Tunisia,1,3,Tunisia,Mexico
1978,Argentina,Group Stage,Austria,Spain,2,1,Austria,Spain
1978,Argentina,Group Stage,Brazil,Sweden,1,1,Draw,Draw
1978,Argentina,Group Stage,Iran,Netherlands,0,3,Netherlands,Iran
1978,Argentina,Group Stage,Peru,Scotland,3,1,Peru,Scotland
1978,Argentina,Group Stage,Argentina,France,2,1,Argentina,France
1978,Argentina,Group Stage,West Germany,Mexico,6,0,West Germany,Mexico
1978,Argentina,Group Stage,Hungary,Italy,1,3,Italy,Hungary
1978,Argentina,Group Stage,Poland,Tunisia,1,0,Poland,Tunisia
1978,Argentina,Group Stage,Austria,Sweden,1,0,Austria,Sweden
1978,Argentina,Group Stage,Brazil,Spain,0,0,Draw,Draw
1978,Argentina,Group Stage,Iran,Scotland,1,1,Draw,Draw
1978,Argentina,Group Stage,Netherlands,Peru,0,0,Draw,Draw
1978,Argentina,Group Stage,Argentina,Italy,0,1,Italy,Argentina
1978,Argentina,Group Stage,France,Hungary,3,1,France,Hungary
1978,Argentina,Group Stage,West Germany,Tunisia,0,0,Draw,Draw
1978,Argentina,Group Stage,Mexico,Poland,1,3,Poland,Mexico
1978,Argentina,Group Stage,Austria,Brazil,0,1,Brazil,Austria
1978,Argentina,Group Stage,Iran,Peru,1,4,Peru,Iran
1978,Argentina,Group Stage,Netherlands,Scotland,2,3,Scotland,Netherlands
1978,Argentina,Group Stage,Spain,Sweden,1,0,Spain,Sweden
1978,Argentina,Group Stage,Argentina,Poland,2,0,Argentina,Poland
1978,Argentina,Group Stage,Austria,Netherlands,1,5,Netherlands,Austria
1978,Argentina,Group Stage,Brazil,Peru,3,0,Brazil,Peru
1978,Argentina,Group Stage,West Germany,Italy,0,0,Draw,Draw
1978,Argentina,Group Stage,Argentina,Brazil,0,0,Draw,Draw
1978,Argentina,Group Stage,Austria,Italy,0,1,Italy,Austria
1978,Argentina,Group Stage,West Germany,Netherlands,2,2,Draw,Draw
1978,Argentina,Group Stage,Peru,Poland,0,1,Poland,Peru
1978,Argentina,Group Stage,Argentina,Peru,6,0,Argentina,Peru
1978,Argentina,Group Stage,Austria,West Germany,3,2,Austria,West Germany
1978,Argentina,Group Stage,Brazil,Poland,3,1,Brazil,Poland
1978,Argentina,Group Stage,Italy,Netherlands,1,2,Netherlands,Italy
1978,Argentina,Third place,Brazil,Italy,2,1,Brazil,Italy
1978,Argentina,Final,Argentina,Netherlands,3,1,Argentina,Netherlands
1982,Spain,Group Stage,Argentina,Belgium,0,1,Belgium,Argentina
1982,Spain,Group Stage,Brazil,Soviet Union,2,1,Brazil,Soviet Union
1982,Spain,Group Stage,Italy,Poland,0,0,Draw,Draw
1982,Spain,Group Stage,Hungary,El Salvador,10,1,Hungary,El Salvador
1982,Spain,Group Stage,Peru,Cameroon,0,0,Draw,Draw
1982,Spain,Group Stage,Scotland,New Zealand,5,2,Scotland,New Zealand
1982,Spain,Group Stage,England,France,3,1,England,France
1982,Spain,Group Stage,West Germany,Algeria,1,2,Algeria,West Germany
1982,Spain,Group Stage,Spain,Honduras,1,1,Draw,Draw
1982,Spain,Group Stage,Chile,Austria,0,1,Austria,Chile
1982,Spain,Group Stage,Czechoslovakia,Kuwait,1,1,Draw,Draw
1982,Spain,Group Stage,Yugoslavia,Northern Ireland,0,0,Draw,Draw
1982,Spain,Group Stage,Argentina,Hungary,4,1,Argentina,Hungary
1982,Spain,Group Stage,Brazil,Scotland,4,1,Brazil,Scotland
1982,Spain,Group Stage,Italy,Peru,1,1,Draw,Draw
1982,Spain,Group Stage,Belgium,El Salvador,1,0,Belgium,El Salvador
1982,Spain,Group Stage,Poland,Cameroon,0,0,Draw,Draw
1982,Spain,Group Stage,Soviet Union,New Zealand,3,0,Soviet Union,New Zealand
1982,Spain,Group Stage,England,Czechoslovakia,2,0,England,Czechoslovakia
1982,Spain,Group Stage,West Germany,Chile,4,1,West Germany,Chile
1982,Spain,Group Stage,Spain,Yugoslavia,2,1,Spain,Yugoslavia
1982,Spain,Group Stage,Algeria,Austria,0,2,Austria,Algeria
1982,Spain,Group Stage,France,Kuwait,4,1,France,Kuwait
1982,Spain,Group Stage,Honduras,Northern Ireland,1,1,Draw,Draw
1982,Spain,Group Stage,Belgium,Hungary,1,1,Draw,Draw
1982,Spain,Group Stage,Poland,Peru,5,1,Poland,Peru
1982,Spain,Group Stage,Soviet Union,Scotland,2,2,Draw,Draw
1982,Spain,Group Stage,Argentina,El Salvador,2,0,Argentina,El Salvador
1982,Spain,Group Stage,Brazil,New Zealand,4,0,Brazil,New Zealand
1982,Spain,Group Stage,Italy,Cameroon,1,1,Draw,Draw
1982,Spain,Group Stage,Algeria,Chile,3,2,Algeria,Chile
1982,Spain,Group Stage,France,Czechoslovakia,1,1,Draw,Draw
1982,Spain,Group Stage,Honduras,Yugoslavia,0,1,Yugoslavia,Honduras
1982,Spain,Group Stage,England,Kuwait,1,0,England,Kuwait
1982,Spain,Group Stage,West Germany,Austria,1,0,West Germany,Austria
1982,Spain,Group Stage,Spain,Northern Ireland,0,1,Northern Ireland,Spain
1982,Spain,Group Stage,Austria,France,0,1,France,Austria
1982,Spain,Group Stage,Poland,Belgium,3,0,Poland,Belgium
1982,Spain,Group Stage,West Germany,England,0,0,Draw,Draw
1982,Spain,Group Stage,Italy,Argentina,2,1,Italy,Argentina
1982,Spain,Group Stage,Austria,Northern Ireland,2,2,Draw,Draw
1982,Spain,Group Stage,Belgium,Soviet Union,0,1,Soviet Union,Belgium
1982,Spain,Group Stage,Argentina,Brazil,1,3,Brazil,Argentina
1982,Spain,Group Stage,Spain,West Germany,1,2,West Germany,Spain
1982,Spain,Group Stage,France,Northern Ireland,4,1,France,Northern Ireland
1982,Spain,Group Stage,Poland,Soviet Union,0,0,Draw,Draw
1982,Spain,Group Stage,Italy,Brazil,3,2,Italy,Brazil
1982,Spain,Group Stage,Spain,England,0,0,Draw,Draw
1982,Spain,Semifinals,West Germany,France,3,3,West Germany,France
1982,Spain,Semifinals,Poland,Italy,0,2,Italy,Poland
1982,Spain,Third place,Poland,France,3,2,Poland,France
1982,Spain,Final,Italy,West Germany,3,1,Italy,West Germany
1986,Mexico,Group Stage,Bulgaria,Italy,1,1,Draw,Draw
1986,Mexico,Group Stage,Canada,France,0,1,France,Canada
1986,Mexico,Group Stage,Spain,Brazil,0,1,Brazil,Spain
1986,Mexico,Group Stage,Argentina,South Korea,3,1,Argentina,South Korea
1986,Mexico,Group Stage,Morocco,Poland,0,0,Draw,Draw
1986,Mexico,Group Stage,Soviet Union,Hungary,6,0,Soviet Union,Hungary
1986,Mexico,Group Stage,Algeria,Northern Ireland,1,1,Draw,Draw
1986,Mexico,Group Stage,Mexico,Belgium,2,1,Mexico,Belgium
1986,Mexico,Group Stage,Portugal,England,1,0,Portugal,England
1986,Mexico,Group Stage,Paraguay,Iraq,1,0,Paraguay,Iraq
1986,Mexico,Group Stage,Scotland,Denmark,0,1,Denmark,Scotland
1986,Mexico,Group Stage,Uruguay,West Germany,1,1,Draw,Draw
1986,Mexico,Group Stage,France,Soviet Union,1,1,Draw,Draw
1986,Mexico,Group Stage,Italy,Argentina,1,1,Draw,Draw
1986,Mexico,Group Stage,South Korea,Bulgaria,1,1,Draw,Draw
1986,Mexico,Group Stage,Brazil,Algeria,1,0,Brazil,Algeria
1986,Mexico,Group Stage,England,Morocco,0,0,Draw,Draw
1986,Mexico,Group Stage,Hungary,Canada,2,0,Hungary,Canada
1986,Mexico,Group Stage,Mexico,Paraguay,1,1,Draw,Draw
1986,Mexico,Group Stage,Northern Ireland,Spain,1,2,Spain,Northern Ireland
1986,Mexico,Group Stage,Poland,Portugal,1,0,Poland,Portugal
1986,Mexico,Group Stage,Denmark,Uruguay,6,1,Denmark,Uruguay
1986,Mexico,Group Stage,West Germany,Scotland,2,1,West Germany,Scotland
1986,Mexico,Group Stage,Iraq,Belgium,1,2,Belgium,Iraq
1986,Mexico,Group Stage,Hungary,France,0,3,France,Hungary
1986,Mexico,Group Stage,Soviet Union,Canada,2,0,Soviet Union,Canada
1986,Mexico,Group Stage,Argentina,Bulgaria,2,0,Argentina,Bulgaria
1986,Mexico,Group Stage,South Korea,Italy,2,3,Italy,South Korea
1986,Mexico,Group Stage,England,Poland,3,0,England,Poland
1986,Mexico,Group Stage,Mexico,Iraq,1,0,Mexico,Iraq
1986,Mexico,Group Stage,Paraguay,Belgium,2,2,Draw,Draw
1986,Mexico,Group Stage,Portugal,Morocco,1,3,Morocco,Portugal
1986,Mexico,Group Stage,Algeria,Spain,0,3,Spain,Algeria
1986,Mexico,Group Stage,Northern Ireland,Brazil,0,3,Brazil,Northern Ireland
1986,Mexico,Group Stage,Denmark,West Germany,2,0,Denmark,West Germany
1986,Mexico,Group Stage,Scotland,Uruguay,0,0,Draw,Draw
1986,Mexico,Round of 16,Mexico,Bulgaria,2,0,Mexico,Bulgaria
1986,Mexico,Round of 16,Soviet Union,Belgium,3,4,Belgium,Soviet Union
1986,Mexico,Round of 16,Argentina,Uruguay,1,0,Argentina,Uruguay
1986,Mexico,Round of 16,Brazil,Poland,4,0,Brazil,Poland
1986,Mexico,Round of 16,Italy,France,0,2,France,Italy
1986,Mexico,Round of 16,Morocco,West Germany,0,1,West Germany,Morocco
1986,Mexico,Round of 16,Denmark,Spain,1,5,Spain,Denmark
1986,Mexico,Round of 16,England,Paraguay,3,0,England,Paraguay
1986,Mexico,Quarterfinals,Brazil,France,1,1,France,Brazil
1986,Mexico,Quarterfinals,Mexico,West Germany,0,0,West Germany,Mexico
1986,Mexico,Quarterfinals,Argentina,England,2,1,Argentina,England
1986,Mexico,Quarterfinals,Spain,Belgium,1,1,Belgium,Spain
1986,Mexico,Semifinals,Argentina,Belgium,2,0,Argentina,Belgium
1986,Mexico,Semifinals,France,West Germany,0,2,West Germany,France
1986,Mexico,Third place,France,Belgium,4,2,France,Belgium
1986,Mexico,Final,Argentina,West Germany,3,2,Argentina,West Germany
1990,Italy,Group Stage,Argentina,Cameroon,0,1,Cameroon,Argentina
1990,Italy,Group Stage,Italy,Austria,1,0,Italy,Austria
1990,Italy,Group Stage,Soviet Union,Romania,0,2,Romania,Soviet Union
1990,Italy,Group Stage,United Arab Emirates,Colombia,0,2,Colombia,United Arab Emirates
1990,Italy,Group Stage,Brazil,Sweden,2,1,Brazil,Sweden
1990,Italy,Group Stage,West Germany,Yugoslavia,4,1,West Germany,Yugoslavia
1990,Italy,Group Stage,United States,Czechoslovakia,1,5,Czechoslovakia,United States
1990,Italy,Group Stage,Costa Rica,Scotland,1,0,Costa Rica,Scotland
1990,Italy,Group Stage,England,Republic of Ireland,1,1,Draw,Draw
1990,Italy,Group Stage,Belgium,South Korea,2,0,Belgium,South Korea
1990,Italy,Group Stage,Netherlands,Egypt,1,1,Draw,Draw
1990,Italy,Group Stage,Argentina,Soviet Union,2,0,Argentina,Soviet Union
1990,Italy,Group Stage,Uruguay,Spain,0,0,Draw,Draw
1990,Italy,Group Stage,Cameroon,Romania,2,1,Cameroon,Romania
1990,Italy,Group Stage,Italy,United States,1,0,Italy,United States
1990,Italy,Group Stage,Yugoslavia,Colombia,1,0,Yugoslavia,Colombia
1990,Italy,Group Stage,Austria,Czechoslovakia,0,1,Czechoslovakia,Austria
1990,Italy,Group Stage,West Germany,United Arab Emirates,5,1,West Germany,United Arab Emirates
1990,Italy,Group Stage,Brazil,Costa Rica,1,0,Brazil,Costa Rica
1990,Italy,Group Stage,England,Netherlands,0,0,Draw,Draw
1990,Italy,Group Stage,Sweden,Scotland,1,2,Scotland,Sweden
1990,Italy,Group Stage,Belgium,Uruguay,3,1,Belgium,Uruguay
1990,Italy,Group Stage,Republic of Ireland,Egypt,0,0,Draw,Draw
1990,Italy,Group Stage,South Korea,Spain,1,3,Spain,South Korea
1990,Italy,Group Stage,Argentina,Romania,1,1,Draw,Draw
1990,Italy,Group Stage,Cameroon,Soviet Union,0,4,Soviet Union,Cameroon
1990,Italy,Group Stage,Austria,United States,2,1,Austria,United States
1990,Italy,Group Stage,West Germany,Colombia,1,1,Draw,Draw
1990,Italy,Group Stage,Italy,Czechoslovakia,2,0,Italy,Czechoslovakia
1990,Italy,Group Stage,Yugoslavia,United Arab Emirates,4,1,Yugoslavia,United Arab Emirates
1990,Italy,Group Stage,Brazil,Scotland,1,0,Brazil,Scotland
1990,Italy,Group Stage,Sweden,Costa Rica,1,2,Costa Rica,Sweden
1990,Italy,Group Stage,Belgium,Spain,1,2,Spain,Belgium
1990,Italy,Group Stage,England,Egypt,1,0,England,Egypt
1990,Italy,Group Stage,Republic of Ireland,Netherlands,1,1,Draw,Draw
1990,Italy,Group Stage,South Korea,Uruguay,0,1,Uruguay,South Korea
1990,Italy,Round of 16,Cameroon,Colombia,2,1,Cameroon,Colombia
1990,Italy,Round of 16,Czechoslovakia,Costa Rica,4,1,Czechoslovakia,Costa Rica
1990,Italy,Round of 16,Brazil,Argentina,0,1,Argentina,Brazil
1990,Italy,Round of 16,West Germany,Netherlands,2,1,West Germany,Netherlands
1990,Italy,Round of 16,Republic of Ireland,Romania,0,0,Republic of Ireland,Romania
1990,Italy,Round of 16,Italy,Uruguay,2,0,Italy,Uruguay
1990,Italy,Round of 16,England,Belgium,1,0,England,Belgium
1990,Italy,Round of 16,Spain,Yugoslavia,1,2,Yugoslavia,Spain
1990,Italy,Quarterfinals,Italy,Republic of Ireland,1,0,Italy,Republic of Ireland
1990,Italy,Quarterfinals,Yugoslavia,Argentina,0,0,Argentina,Yugoslavia
1990,Italy,Quarterfinals,Cameroon,England,2,3,England,Cameroon
1990,Italy,Quarterfinals,West Germany,Czechoslovakia,1,0,West Germany,Czechoslovakia
1990,Italy,Semifinals,Italy,Argentina,1,1,Argentina,Italy
1990,Italy,Semifinals,West Germany,England,1,1,West Germany,England
1990,Italy,Third place,Italy,England,2,1,Italy,England
1990,Italy,Final,West Germany,Argentina,1,0,West Germany,Argentina
1994,United States,Group Stage,Germany,Bolivia,1,0,Germany,Bolivia
1994,United States,Group Stage,Spain,South Korea,2,2,Draw,Draw
1994,United States,Group Stage,Colombia,Romania,1,3,Romania,Colombia
1994,United States,Group Stage,Italy,Republic of Ireland,0,1,Republic of Ireland,Italy
1994,United States,Group Stage,United States,Switzerland,1,1,Draw,Draw
1994,United States,Group Stage,Belgium,Morocco,1,0,Belgium,Morocco
1994,United States,Group Stage,Cameroon,Sweden,2,2,Draw,Draw
1994,United States,Group Stage,Norway,Mexico,1,0,Norway,Mexico
1994,United States,Group Stage,Brazil,Russia,2,0,Brazil,Russia
1994,United States,Group Stage,Netherlands,Saudi Arabia,2,1,Netherlands,Saudi Arabia
1994,United States,Group Stage,Argentina,Greece,4,0,Argentina,Greece
1994,United States,Group Stage,Germany,Spain,1,1,Draw,Draw
1994,United States,Group Stage,Nigeria,Bulgaria,3,0,Nigeria,Bulgaria
1994,United States,Group Stage,Romania,Switzerland,1,4,Switzerland,Romania
1994,United States, Group A,United States,Colombia,2,1,United States,Colombia
1994,United States,Group Stage,Italy,Norway,1,0,Italy,Norway
1994,United States,Group Stage,South Korea,Bolivia,0,0,Draw,Draw
1994,United States,Group Stage,Brazil,Cameroon,3,0,Brazil,Cameroon
1994,United States,Group Stage,Mexico,Republic of Ireland,2,1,Mexico,Republic of Ireland
1994,United States,Group Stage,Sweden,Russia,3,1,Sweden,Russia
1994,United States,Group Stage,Argentina,Nigeria,2,1,Argentina,Nigeria
1994,United States,Group Stage,Belgium,Netherlands,1,0,Belgium,Netherlands
1994,United States,Group Stage,Saudi Arabia,Morocco,2,1,Saudi Arabia,Morocco
1994,United States,Group Stage,Bulgaria,Greece,4,0,Bulgaria,Greece
1994,United States,Group Stage,Switzerland,Colombia,0,2,Colombia,Switzerland
1994,United States,Group Stage,United States,Romania,0,1,Romania,United States
1994,United States,Group Stage,Bolivia,Spain,1,3,Spain,Bolivia
1994,United States,Group Stage,Germany,South Korea,3,2,Germany,South Korea
1994,United States,Group Stage,Brazil,Sweden,1,1,Draw,Draw
1994,United States,Group Stage,Republic of Ireland,Norway,0,0,Draw,Draw
1994,United States,Group Stage,Italy,Mexico,1,1,Draw,Draw
1994,United States,Group Stage,Russia,Cameroon,6,1,Russia,Cameroon
1994,United States,Group Stage,Belgium,Saudi Arabia,0,1,Saudi Arabia,Belgium
1994,United States,Group Stage,Morocco,Netherlands,1,2,Netherlands,Morocco
1994,United States,Group Stage,Argentina,Bulgaria,0,2,Bulgaria,Argentina
1994,United States,Group Stage,Greece,Nigeria,0,2,Nigeria,Greece
1994,United States,Round of 16,Germany,Belgium,3,2,Germany,Belgium
1994,United States,Round of 16,Spain,Switzerland,3,0,Spain,Switzerland
1994,United States,Round of 16,Romania,Argentina,3,2,Romania,Argentina
1994,United States,Round of 16,Saudi Arabia,Sweden,1,3,Sweden,Saudi Arabia
1994,United States,Round of 16,Netherlands,Republic of Ireland,2,0,Netherlands,Republic of Ireland
1994,United States,Round of 16,United States,Brazil,0,1,Brazil,United States
1994,United States,Round of 16,Mexico,Bulgaria,1,1,Bulgaria,Mexico
1994,United States,Round of 16,Nigeria,Italy,1,2,Italy,Nigeria
1994,United States,Quarterfinals,Italy,Spain,2,1,Italy,Spain
1994,United States,Quarterfinals,Netherlands,Brazil,2,3,Brazil,Netherlands
1994,United States,Quarterfinals,Bulgaria,Germany,2,1,Bulgaria,Germany
1994,United States,Quarterfinals,Romania,Sweden,2,2,Sweden,Romania
1994,United States,Semifinals,Bulgaria,Italy,1,2,Italy,Bulgaria
1994,United States,Semifinals,Sweden,Brazil,0,1,Brazil,Sweden
1994,United States,Third place,Sweden,Bulgaria,4,0,Sweden,Bulgaria
1994,United States,Final,Brazil,Italy,0,0,Brazil,Italy
1998,France,Group Stage,Brazil,Scotland,2,1,Brazil,Scotland
1998,France,Group Stage,Morocco,Norway,2,2,Draw,Draw
1998,France,Group Stage,Cameroon,Austria,1,1,Draw,Draw
1998,France,Group Stage,Italy,Chile,2,2,Draw,Draw
1998,France,Group Stage,France,South Africa,3,0,France,South Africa
1998,France,Group Stage,Paraguay,Bulgaria,0,0,Draw,Draw
1998,France,Group Stage,Saudi Arabia,Denmark,0,1,Denmark,Saudi Arabia
1998,France,Group Stage,South Korea,Mexico,1,3,Mexico,South Korea
1998,France,Group Stage,Netherlands,Belgium,0,0,Draw,Draw
1998,France,Group Stage,Spain,Nigeria,2,3,Nigeria,Spain
1998,France,Group Stage,Argentina,Japan,1,0,Argentina,Japan
1998,France,Group Stage,Jamaica,Croatia,1,3,Croatia,Jamaica
1998,France,Group Stage,FR Yugoslavia,Iran,1,0,FR Yugoslavia,Iran
1998,France,Group Stage,England,Tunisia,2,0,England,Tunisia
1998,France,Group Stage,Germany,United States,2,0,Germany,United States
1998,France,Group Stage,Romania,Colombia,1,0,Romania,Colombia
1998,France,Group Stage,Brazil,Morocco,3,0,Brazil,Morocco
1998,France,Group Stage,Scotland,Norway,1,1,Draw,Draw
1998,France,Group Stage,Chile,Austria,1,1,Draw,Draw
1998,France,Group Stage,Italy,Cameroon,3,0,Italy,Cameroon
1998,France,Group Stage,France,Saudi Arabia,4,0,France,Saudi Arabia
1998,France,Group Stage,South Africa,Denmark,1,1,Draw,Draw
1998,France,Group Stage,Nigeria,Bulgaria,1,0,Nigeria,Bulgaria
1998,France,Group Stage,Spain,Paraguay,0,0,Draw,Draw
1998,France,Group Stage,Belgium,Mexico,2,2,Draw,Draw
1998,France,Group Stage,Japan,Croatia,0,1,Croatia,Japan
1998,France,Group Stage,Netherlands,South Korea,5,0,Netherlands,South Korea
1998,France,Group Stage,Argentina,Jamaica,5,0,Argentina,Jamaica
1998,France,Group Stage,Germany,FR Yugoslavia,2,2,Draw,Draw
1998,France,Group Stage,United States,Iran,1,2,Iran,United States
1998,France,Group Stage,Colombia,Tunisia,1,0,Colombia,Tunisia
1998,France,Group Stage,Romania,England,2,1,Romania,England
1998,France,Group Stage,Brazil,Norway,1,2,Norway,Brazil
1998,France,Group Stage,Chile,Cameroon,1,1,Draw,Draw
1998,France,Group Stage,Italy,Austria,2,1,Italy,Austria
1998,France,Group Stage,Scotland,Morocco,0,3,Morocco,Scotland
1998,France,Group Stage,France,Denmark,2,1,France,Denmark
1998,France,Group Stage,Nigeria,Paraguay,1,3,Paraguay,Nigeria
1998,France,Group Stage,South Africa,Saudi Arabia,2,2,Draw,Draw
